"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"10/21/2024 07:00:00 AM","subway","199","Broad Channel (A,S)","Queens","omny","OMNY - Full Fare","21","0","40.608383","-73.815926","POINT (-73.815926 40.608383)"
"10/21/2024 07:00:00 AM","subway","312","79 St (1)","Manhattan","metrocard","Metrocard - Fair Fare","6","1","40.783936","-73.97992","POINT (-73.97992 40.783936)"
"10/21/2024 07:00:00 AM","subway","217","170 St (B,D)","Bronx","metrocard","Metrocard - Other","17","1","40.839306","-73.9134","POINT (-73.9134 40.839306)"
"10/21/2024 07:00:00 AM","subway","424","Pelham Pkwy (2,5)","Bronx","metrocard","Metrocard - Unlimited 7-Day","51","0","40.857193","-73.867615","POINT (-73.867615 40.857193)"
"10/21/2024 07:00:00 AM","subway","41","7 Av (B,Q)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.67705","-73.97237","POINT (-73.97237 40.67705)"
"10/21/2024 07:00:00 AM","subway","47","Newkirk Plaza (B,Q)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","60","0","40.635082","-73.96279","POINT (-73.96279 40.635082)"
"10/21/2024 07:00:00 AM","subway","31","25 St (R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","3","0","40.660397","-73.99809","POINT (-73.99809 40.660397)"
"10/21/2024 07:00:00 AM","subway","100","Hewes St (M,J)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","3","0","40.70687","-73.95343","POINT (-73.95343 40.70687)"
"10/21/2024 07:00:00 AM","subway","48","Avenue H (Q)","Brooklyn","metrocard","Metrocard - Full Fare","27","0","40.62927","-73.96164","POINT (-73.96164 40.62927)"
"10/21/2024 07:00:00 AM","subway","127","DeKalb Av (L)","Brooklyn","metrocard","Metrocard - Other","36","1","40.70381","-73.91843","POINT (-73.91843 40.70381)"
"10/21/2024 07:00:00 AM","subway","312","79 St (1)","Manhattan","omny","OMNY - Students","95","2","40.783936","-73.97992","POINT (-73.97992 40.783936)"
"10/21/2024 07:00:00 AM","subway","265","Grand Av-Newtown (M,R)","Queens","omny","OMNY - Seniors & Disability","2","0","40.737015","-73.87722","POINT (-73.87722 40.737015)"
"10/21/2024 07:00:00 AM","subway","150","155 St (C)","Manhattan","omny","OMNY - Full Fare","76","3","40.830517","-73.94151","POINT (-73.94151 40.830517)"
"10/21/2024 07:00:00 AM","subway","108","Middle Village-Metropolitan Av (M)","Queens","omny","OMNY - Students","78","28","40.711395","-73.8896","POINT (-73.8896 40.711395)"
"10/21/2024 07:00:00 AM","subway","264","Woodhaven Blvd (M,R)","Queens","metrocard","Metrocard - Seniors & Disability","80","29","40.733105","-73.86923","POINT (-73.86923 40.733105)"
"10/21/2024 07:00:00 AM","subway","79","86 St (N)","Brooklyn","metrocard","Metrocard - Other","7","0","40.59272","-73.97823","POINT (-73.97823 40.59272)"
"10/21/2024 07:00:00 AM","subway","445","Pelham Pkwy (5)","Bronx","omny","OMNY - Seniors & Disability","2","0","40.858986","-73.85536","POINT (-73.85536 40.858986)"
