"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"10/21/2024 05:00:00 PM","subway","378","Woodlawn (4)","Bronx","omny","OMNY - Other","2","0","40.886036","-73.87875","POINT (-73.87875 40.886036)"
"10/21/2024 05:00:00 PM","subway","118","3 Av (L)","Manhattan","metrocard","Metrocard - Seniors & Disability","6","0","40.73285","-73.98612","POINT (-73.98612 40.73285)"
"10/21/2024 05:00:00 PM","subway","463","Hunters Point Av (7)","Queens","metrocard","Metrocard - Seniors & Disability","17","0","40.742214","-73.94891","POINT (-73.94891 40.742214)"
"10/21/2024 05:00:00 PM","subway","71","8 Av (N)","Brooklyn","omny","OMNY - Seniors & Disability","5","0","40.635063","-74.01172","POINT (-74.01172 40.635063)"
"10/21/2024 05:00:00 PM","subway","287","Flushing Av (G)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","12","0","40.70038","-73.95023","POINT (-73.95023 40.70038)"
"10/21/2024 05:00:00 PM","subway","90","Van Siclen Av (J,Z)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","7","0","40.678024","-73.891685","POINT (-73.891685 40.678024)"
"10/21/2024 05:00:00 PM","subway","109","Fresh Pond Rd (M)","Queens","metrocard","Metrocard - Other","9","0","40.706184","-73.895874","POINT (-73.895874 40.706184)"
"10/21/2024 05:00:00 PM","subway","210","Norwood-205 St (D)","Bronx","omny","OMNY - Other","1","0","40.87481","-73.87885","POINT (-73.87885 40.87481)"
"10/21/2024 05:00:00 PM","subway","309","103 St (1)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","45","0","40.799446","-73.968376","POINT (-73.968376 40.799446)"
"10/21/2024 05:00:00 PM","subway","301","181 St (1)","Manhattan","omny","OMNY - Full Fare","232","14","40.849506","-73.93359","POINT (-73.93359 40.849506)"
"10/21/2024 05:00:00 PM","subway","42","Prospect Park (B,Q,S)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","22","0","40.661613","-73.96225","POINT (-73.96225 40.661613)"
"10/21/2024 05:00:00 PM","subway","134","Sutter Av (L)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","14","0","40.66937","-73.90198","POINT (-73.90198 40.66937)"
"10/21/2024 05:00:00 PM","subway","464","Vernon Blvd-Jackson Av (7)","Queens","omny","OMNY - Students","54","0","40.742626","-73.95358","POINT (-73.95358 40.742626)"
"10/21/2024 05:00:00 PM","subway","441","Central Park North (110 St) (2,3)","Manhattan","metrocard","Metrocard - Seniors & Disability","9","3","40.799076","-73.95182","POINT (-73.95182 40.799076)"
"10/21/2024 05:00:00 PM","subway","124","Montrose Av (L)","Brooklyn","metrocard","Metrocard - Full Fare","22","0","40.70774","-73.93985","POINT (-73.93985 40.70774)"
"10/21/2024 05:00:00 PM","subway","103","Bowery (J,Z)","Manhattan","omny","OMNY - Students","21","1","40.72028","-73.99391","POINT (-73.99391 40.72028)"
"10/21/2024 05:00:00 PM","subway","46","Cortelyou Rd (Q)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","17","0","40.640926","-73.96389","POINT (-73.96389 40.640926)"
"10/21/2024 05:00:00 PM","subway","138","Canarsie-Rockaway Pkwy (L)","Brooklyn","metrocard","Metrocard - Fair Fare","4","0","40.646652","-73.90185","POINT (-73.90185 40.646652)"
"10/21/2024 05:00:00 PM","subway","445","Pelham Pkwy (5)","Bronx","omny","OMNY - Students","13","0","40.858986","-73.85536","POINT (-73.85536 40.858986)"
"10/21/2024 05:00:00 PM","subway","71","8 Av (N)","Brooklyn","omny","OMNY - Students","67","3","40.635063","-74.01172","POINT (-74.01172 40.635063)"
"10/21/2024 05:00:00 PM","subway","451","Junction Blvd (7)","Queens","metrocard","Metrocard - Fair Fare","41","2","40.749146","-73.86953","POINT (-73.86953 40.749146)"
"10/21/2024 05:00:00 PM","subway","612","Lexington Av-53 St (E,M)/51 St (6)","Manhattan","metrocard","Metrocard - Full Fare","797","5","40.757553","-73.969055","POINT (-73.969055 40.757553)"
"10/21/2024 05:00:00 PM","subway","153","125 St (A,C,B,D)","Manhattan","metrocard","Metrocard - Seniors & Disability","58","8","40.811108","-73.95235","POINT (-73.95235 40.811108)"
"10/21/2024 05:00:00 PM","subway","376","Brook Av (6)","Bronx","metrocard","Metrocard - Fair Fare","10","0","40.807568","-73.91924","POINT (-73.91924 40.807568)"
"10/21/2024 05:00:00 PM","subway","324","Houston St (1)","Manhattan","metrocard","Metrocard - Full Fare","187","0","40.728252","-74.00536","POINT (-74.00536 40.728252)"
"10/21/2024 05:00:00 PM","subway","34","53 St (R)","Brooklyn","omny","OMNY - Students","43","0","40.64507","-74.01403","POINT (-74.01403 40.64507)"
"10/21/2024 05:00:00 PM","subway","309","103 St (1)","Manhattan","omny","OMNY - Students","57","2","40.799446","-73.968376","POINT (-73.968376 40.799446)"
"10/21/2024 05:00:00 PM","subway","311","86 St (1)","Manhattan","metrocard","Metrocard - Other","29","2","40.788643","-73.97622","POINT (-73.97622 40.788643)"
"10/21/2024 05:00:00 PM","subway","456","61 St-Woodside (7)","Queens","metrocard","Metrocard - Unlimited 30-Day","72","0","40.74563","-73.902985","POINT (-73.902985 40.74563)"
"10/21/2024 05:00:00 PM","subway","428","174 St (2,5)","Bronx","omny","OMNY - Students","56","2","40.837288","-73.88773","POINT (-73.88773 40.837288)"
"10/21/2024 05:00:00 PM","subway","361","Buhre Av (6)","Bronx","metrocard","Metrocard - Fair Fare","9","0","40.84681","-73.832565","POINT (-73.832565 40.84681)"
"10/21/2024 05:00:00 PM","subway","64","71 St (D)","Brooklyn","omny","OMNY - Full Fare","54","0","40.61959","-73.99886","POINT (-73.99886 40.61959)"
"10/21/2024 05:00:00 PM","subway","273","Queens Plaza (E,M,R)","Queens","metrocard","Metrocard - Fair Fare","50","3","40.748974","-73.93724","POINT (-73.93724 40.748974)"
"10/21/2024 05:00:00 PM","subway","42","Prospect Park (B,Q,S)","Brooklyn","metrocard","Metrocard - Fair Fare","15","1","40.661613","-73.96225","POINT (-73.96225 40.661613)"
"10/21/2024 05:00:00 PM","subway","143","Inwood-207 St (A)","Manhattan","metrocard","Metrocard - Full Fare","44","10","40.868073","-73.9199","POINT (-73.9199 40.868073)"
"10/21/2024 05:00:00 PM","subway","200","Beach 90 St (A,S)","Queens","omny","OMNY - Students","2","0","40.588036","-73.813644","POINT (-73.813644 40.588036)"
"10/21/2024 05:00:00 PM","subway","283","Greenpoint Av (G)","Brooklyn","omny","OMNY - Full Fare","392","2","40.731354","-73.95445","POINT (-73.95445 40.731354)"
"10/21/2024 05:00:00 PM","subway","443","Baychester Av (5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","9","0","40.878662","-73.83859","POINT (-73.83859 40.878662)"
"10/21/2024 05:00:00 PM","subway","154","116 St (C,B)","Manhattan","metrocard","Metrocard - Full Fare","23","3","40.805084","-73.95488","POINT (-73.95488 40.805084)"
"10/21/2024 05:00:00 PM","subway","353","President St-Medgar Evers College (2,5)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","3","0","40.667885","-73.95068","POINT (-73.95068 40.667885)"
"10/21/2024 05:00:00 PM","subway","438","135 St (2,3)","Manhattan","metrocard","Metrocard - Other","55","0","40.814228","-73.94077","POINT (-73.94077 40.814228)"
"10/21/2024 05:00:00 PM","subway","100","Hewes St (M,J)","Brooklyn","metrocard","Metrocard - Fair Fare","7","0","40.70687","-73.95343","POINT (-73.95343 40.70687)"
"10/21/2024 05:00:00 PM","subway","126","Jefferson St (L)","Brooklyn","metrocard","Metrocard - Fair Fare","18","0","40.706608","-73.92291","POINT (-73.92291 40.706608)"
"10/21/2024 05:00:00 PM","subway","13","28 St (R,W)","Manhattan","metrocard","Metrocard - Fair Fare","29","0","40.745495","-73.98869","POINT (-73.98869 40.745495)"
"10/21/2024 05:00:00 PM","subway","425","Bronx Park East (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","3","0","40.848827","-73.868454","POINT (-73.868454 40.848827)"
"10/21/2024 05:00:00 PM","subway","70","Bay 50 St (D)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","10","0","40.58884","-73.983765","POINT (-73.983765 40.58884)"
"10/21/2024 05:00:00 PM","subway","98","Flushing Av (M,J)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","56","0","40.70026","-73.941124","POINT (-73.941124 40.70026)"
"10/21/2024 05:00:00 PM","subway","71","8 Av (N)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","158","0","40.635063","-74.01172","POINT (-74.01172 40.635063)"
"10/21/2024 05:00:00 PM","subway","325","Canal St (1)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","22","0","40.722855","-74.00628","POINT (-74.00628 40.722855)"
"10/21/2024 05:00:00 PM","subway","471","34 St-Hudson Yards (7)","Manhattan","omny","OMNY - Students","56","0","40.755882","-74.00191","POINT (-74.00191 40.755882)"
"10/21/2024 05:00:00 PM","subway","228","23 St (F,M)","Manhattan","omny","OMNY - Full Fare","1,717","33","40.742878","-73.99282","POINT (-73.99282 40.742878)"
"10/21/2024 05:00:00 PM","subway","95","Gates Av (J,Z)","Brooklyn","metrocard","Metrocard - Fair Fare","13","0","40.68963","-73.92227","POINT (-73.92227 40.68963)"
"10/21/2024 05:00:00 PM","subway","14","23 St (R,W)","Manhattan","omny","OMNY - Students","78","3","40.741302","-73.98934","POINT (-73.98934 40.741302)"
"10/21/2024 05:00:00 PM","subway","95","Gates Av (J,Z)","Brooklyn","metrocard","Metrocard - Other","5","0","40.68963","-73.92227","POINT (-73.92227 40.68963)"
"10/21/2024 05:00:00 PM","subway","392","125 St (4,5,6)","Manhattan","metrocard","Metrocard - Seniors & Disability","41","1","40.80414","-73.93759","POINT (-73.93759 40.80414)"
"10/21/2024 05:00:00 PM","subway","431","Intervale Av (2,5)","Bronx","metrocard","Metrocard - Full Fare","21","0","40.82218","-73.896736","POINT (-73.896736 40.82218)"
"10/21/2024 05:00:00 PM","subway","298","207 St (1)","Manhattan","metrocard","Metrocard - Full Fare","38","6","40.86462","-73.91882","POINT (-73.91882 40.86462)"
"10/21/2024 05:00:00 PM","subway","386","Mt Eden Av (4)","Bronx","metrocard","Metrocard - Other","5","0","40.844433","-73.91469","POINT (-73.91469 40.844433)"
"10/21/2024 05:00:00 PM","subway","222","Roosevelt Island (F)","Manhattan","omny","OMNY - Seniors & Disability","4","1","40.759144","-73.95326","POINT (-73.95326 40.759144)"
"10/21/2024 05:00:00 PM","subway","398","77 St (6)","Manhattan","omny","OMNY - Full Fare","1,474","31","40.77362","-73.95988","POINT (-73.95988 40.77362)"
"10/21/2024 05:00:00 PM","subway","607","34 St-Herald Sq (B,D,F,M,N,Q,R,W)","Manhattan","metrocard","Metrocard - Other","265","1","40.749718","-73.98782","POINT (-73.98782 40.749718)"
"10/21/2024 05:00:00 PM","subway","313","72 St (1,2,3)","Manhattan","omny","OMNY - Students","188","11","40.778454","-73.98197","POINT (-73.98197 40.778454)"
"10/21/2024 05:00:00 PM","subway","250","Kings Hwy (F)","Brooklyn","metrocard","Metrocard - Full Fare","22","2","40.603218","-73.97236","POINT (-73.97236 40.603218)"
"10/21/2024 05:00:00 PM","subway","319","28 St (1)","Manhattan","metrocard","Metrocard - Other","33","0","40.747215","-73.99336","POINT (-73.99336 40.747215)"
"10/21/2024 05:00:00 PM","subway","358","Newkirk Av-Little Haiti (2,5)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.63997","-73.94841","POINT (-73.94841 40.63997)"
"10/21/2024 05:00:00 PM","subway","58","Coney Island-Stillwell Av (D,F,N,Q)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","47","0","40.577423","-73.98123","POINT (-73.98123 40.577423)"
"10/21/2024 05:00:00 PM","subway","605","168 St (A,C,1)","Manhattan","omny","OMNY - Students","121","0","40.840717","-73.93956","POINT (-73.93956 40.840717)"
"10/21/2024 05:00:00 PM","subway","99","Lorimer St (M,J)","Brooklyn","omny","OMNY - Students","28","0","40.70387","-73.94741","POINT (-73.94741 40.70387)"
"10/21/2024 05:00:00 PM","subway","433","Jackson Av (2,5)","Bronx","metrocard","Metrocard - Full Fare","41","0","40.81649","-73.90781","POINT (-73.90781 40.81649)"
"10/21/2024 05:00:00 PM","subway","37","77 St (R)","Brooklyn","metrocard","Metrocard - Fair Fare","17","0","40.62974","-74.02551","POINT (-74.02551 40.62974)"
"10/21/2024 05:00:00 PM","subway","242","Fort Hamilton Pkwy (F,G)","Brooklyn","metrocard","Metrocard - Fair Fare","10","0","40.650784","-73.97578","POINT (-73.97578 40.650784)"
"10/21/2024 05:00:00 PM","subway","34","53 St (R)","Brooklyn","metrocard","Metrocard - Fair Fare","36","0","40.64507","-74.01403","POINT (-74.01403 40.64507)"
"10/21/2024 05:00:00 PM","subway","76","Bay Pkwy (N)","Brooklyn","metrocard","Metrocard - Other","5","0","40.611816","-73.98185","POINT (-73.98185 40.611816)"
"10/21/2024 05:00:00 PM","subway","175","Hoyt-Schermerhorn Sts (A,C,G)","Brooklyn","omny","OMNY - Full Fare","636","4","40.688484","-73.985","POINT (-73.985 40.688484)"
