stop_id,stop_name,routes_at_stop
A32,W 4 St-Wash Sq,"A,C,E"
A33,Spring St,"A,C,E"
A34,Canal St,"A,C,E"
A36,Chambers St,"A,C"
A38,Fulton St,"A,C"
A40,High St,"A,C"
A41,Jay St-MetroTech,"A,C,F,FX"
A42,Hoyt-Schermerhorn Sts,"A,C,G"
A43,Lafayette Av,"A,C"
A44,Clinton-Washington Avs,"A,C"
A45,Franklin Av,"A,C"
A46,Nostrand Av,"A,C"
A47,Kingston-Throop Avs,"A,C"
A48,Utica Av,"A,C"
A49,Ralph Av,"A,C"
A50,Rockaway Av,"A,C"
A51,Broadway Junction,"A,C"
A52,Liberty Av,"A,C"
A53,Van Siclen Av,"A,C"
A54,Shepherd Av,"A,C"
A55,Euclid Av,"A,C"
A57,Grant Av,A
A59,80 St,A
A60,88 St,A
A61,Rockaway Blvd,A
A63,104 St,A
A64,111 St,A
A65,Ozone Park-Lefferts Blvd,A
B04,21 St-Queensbridge,"F,M"
B06,Roosevelt Island,"F,M"
B08,Lexington Av/63 St,"F,M,N,Q,R"
B10,57 St,"F,M"
B12,9 Av,"D,R,W"
B13,Fort Hamilton Pkwy,D
B14,50 St,D
B15,55 St,D
B16,62 St,"D,R,W"
B17,71 St,D
B18,79 St,D
B19,18 Av,D
B20,20 Av,D
B21,Bay Pkwy,"D,R,W"
B22,25 Av,D
B23,Bay 50 St,D
D01,Norwood-205 St,D
D03,Bedford Park Blvd,"B,D"
D04,Kingsbridge Rd,"B,D"
D05,Fordham Rd,"B,D"
D06,182-183 Sts,"B,D"
D07,Tremont Av,"B,D"
D08,174-175 Sts,"B,D"
D09,170 St,"B,D"
D10,167 St,"B,D"
D11,161 St-Yankee Stadium,"B,D"
D12,155 St,"B,D"
D13,145 St,"B,D"
D14,7 Av,"B,D,E"
D15,47-50 Sts-Rockefeller Ctr,"B,D,F,FX,M"
D16,42 St-Bryant Pk,"B,D,F,FX,M"
D17,34 St-Herald Sq,"B,D,F,FX,M"
D18,23 St,"F,FX,M"
D19,14 St,"F,FX,M"
D20,W 4 St-Wash Sq,"B,D,F,FX,M"
D21,Broadway-Lafayette St,"B,D,F,FX,M"
D22,Grand St,"B,D"
D24,Atlantic Av-Barclays Ctr,"B,Q"
D25,7 Av,"B,Q"
D26,Prospect Park,"B,Q,S"
D27,Parkside Av,Q
D28,Church Av,"B,Q"
D29,Beverley Rd,Q
D30,Cortelyou Rd,Q
D31,Newkirk Plaza,"B,Q"
D32,Avenue H,Q
D33,Avenue J,Q
D34,Avenue M,Q
D35,Kings Hwy,"B,Q"
D37,Avenue U,Q
D38,Neck Rd,Q
D39,Sheepshead Bay,"B,Q"
D40,Brighton Beach,"B,Q"
D41,Ocean Pkwy,Q
D42,W 8 St-NY Aquarium,"F,FX,Q"
D43,Coney Island-Stillwell Av,"D,F,FX,N,Q"
E01,World Trade Center,E
F01,Jamaica-179 St,"E,F,FX"
F02,169 St,"E,F,FX"
F03,Parsons Blvd,"E,F,FX"
F04,Sutphin Blvd,"E,F,FX"
F05,Briarwood,"E,F,FX"
F06,Kew Gardens-Union Tpke,"E,F,FX"
F07,75 Av,"E,F,FX"
F09,Court Sq-23 St,"E,F,FX"
F11,Lexington Av/53 St,"E,F,FX"
F12,5 Av/53 St,"E,F,FX"
F14,2 Av,"F,FX"
F15,Delancey St-Essex St,"F,FX"
F16,East Broadway,"F,FX"
F18,York St,"F,FX"
F20,Bergen St,"F,G"
F21,Carroll St,"F,G"
F22,Smith-9 Sts,"F,G"
F23,4 Av-9 St,"F,G"
F24,7 Av,"F,FX,G"
F25,15 St-Prospect Park,"F,G"
F26,Fort Hamilton Pkwy,"F,G"
F27,Church Av,"F,FX,G"
F29,Ditmas Av,"F,FX"
F30,18 Av,"F,FX"
F31,Avenue I,"F,FX"
F32,Bay Pkwy,"F,FX"
F33,Avenue N,"F,FX"
F34,Avenue P,"F,FX"
F35,Kings Hwy,"F,FX"
F36,Avenue U,"F,FX"
F38,Avenue X,"F,FX"
F39,Neptune Av,"F,FX"
G05,Jamaica Center-Parsons/Archer,"E,J,Z"
G06,Sutphin Blvd-Archer Av-JFK Airport,"E,J,Z"
G07,Jamaica-Van Wyck,E
G08,Forest Hills-71 Av,"E,F,FX,M,R"
G09,67 Av,"E,F,M,R"
G10,63 Dr-Rego Park,"E,F,M,R"
G11,Woodhaven Blvd,"E,F,M,R"
G12,Grand Av-Newtown,"E,F,M,R"
G13,Elmhurst Av,"E,F,M,R"
G14,Jackson Hts-Roosevelt Av,"E,F,FX,M,R"
G15,65 St,"E,F,M,R"
G16,Northern Blvd,"E,F,M,R"
G18,46 St,"E,F,M,R"
G19,Steinway St,"E,F,M,R"
G20,36 St,"E,F,M,R"
G21,Queens Plaza,"E,F,FX,R"
G22,Court Sq,G
G24,21 St,G
