station_complex_id,ridership,GTFS Stop ID
351,824.0,256
352,1903.0,257
353,1020.0,241
354,1776.0,242
355,2074.0,243
356,2722.0,244
357,1717.0,245
358,2531.0,246
359,6399.0,247
360,2173.0,601
361,1577.0,602
362,847.0,603
363,971.0,604
364,803.0,606
365,1933.0,607
366,4778.0,608
367,1176.0,609
368,1916.0,610
369,1736.0,611
370,570.0,612
371,2462.0,613
372,858.0,614
373,1335.0,615
374,239.0,616
375,780.0,617
376,1232.0,618
377,2082.0,619
378,2093.0,401
379,1833.0,402
380,1259.0,405
381,2288.0,406
382,2045.0,407
383,1540.0,408
384,2600.0,409
385,1630.0,410
386,1396.0,411
387,2065.0,412
388,2501.0,413
391,911.0,416
392,5605.0,621
393,2792.0,622
394,2847.0,623
395,2485.0,624
396,2998.0,625
397,7360.0,626
398,3978.0,627
399,2085.0,628
403,3690.0,632
404,2603.0,633
405,3409.0,634
407,2344.0,636
409,1100.0,638
413,2142.0,419
414,3538.0,420
416,1241.0,201
417,1013.0,204
418,1180.0,205
419,1001.0,206
420,887.0,207
421,1755.0,208
422,876.0,209
423,1373.0,210
424,1953.0,211
425,793.0,212
426,2646.0,213
427,1312.0,214
428,1702.0,215
429,1377.0,216
430,1771.0,217
431,801.0,218
432,1736.0,219
433,1530.0,220
434,4671.0,221
436,1029.0,301
437,1047.0,302
438,2641.0,224
439,2350.0,225
440,2363.0,226
441,1894.0,227
442,1404.0,501
443,1014.0,502
444,1688.0,503
445,1127.0,504
446,1162.0,505
447,17273.0,701
448,434.0,702
449,4274.0,705
450,8972.0,706
451,9344.0,707
452,6753.0,708
453,2791.0,709
455,2170.0,711
456,6103.0,712
457,2466.0,713
458,3935.0,714
459,2871.0,715
460,478.0,716
461,2502.0,R09
461,2502.0,718
463,884.0,720
464,5077.0,721
471,1719.0,726
475,4440.0,Q05
476,6074.0,Q04
477,4843.0,Q03
601,4837.0,L02
601,4837.0,D19
601,4837.0,132
602,8122.0,R20
602,8122.0,L03
602,8122.0,635
603,1804.0,415
603,1804.0,222
604,5903.0,D11
604,5903.0,414
605,4005.0,A09
605,4005.0,112
606,4872.0,F09
606,4872.0,G22
606,4872.0,719
607,12278.0,R17
607,12278.0,D17
608,2809.0,R33
608,2809.0,F23
609,2146.0,D16
609,2146.0,724
610,26478.0,631
610,26478.0,723
610,26478.0,901
611,37085.0,R16
611,37085.0,A27
611,37085.0,127
611,37085.0,725
611,37085.0,902
612,4780.0,F11
612,4780.0,630
613,4114.0,R11
613,4114.0,629
614,6450.0,A24
614,6450.0,125
615,1477.0,B16
615,1477.0,N04
616,16261.0,G14
616,16261.0,710
617,8062.0,R31
617,8062.0,D24
617,8062.0,235
618,3559.0,L01
618,3559.0,A31
619,3260.0,D21
619,3260.0,637
620,4603.0,R28
620,4603.0,232
620,4603.0,423
621,2291.0,J27
621,2291.0,L22
621,2291.0,A51
622,2636.0,M21
622,2636.0,640
623,2413.0,R23
623,2413.0,Q01
623,2413.0,M20
623,2413.0,639
624,6120.0,R25
624,6120.0,A36
624,6120.0,E01
624,6120.0,228
625,4260.0,M18
625,4260.0,F15
626,4081.0,S04
626,4081.0,239
627,1253.0,S01
627,1253.0,A45
628,11357.0,M22
628,11357.0,A38
628,11357.0,229
628,11357.0,418
629,3496.0,L10
629,3496.0,G29
630,6915.0,M08
630,6915.0,L17
635,4876.0,R27
635,4876.0,142
636,4093.0,R29
636,4093.0,A41
